centro_hospitalario,area,categoria,ult_grado,esc_med_gral,esc_esp,anios_prac,casos,hall_disc,hall_arb,hall_dem,mcc_aut,mcc_no_aut,rechazo_fam,no_hosp,per_sol_aut,med_aut,fmr_sol_aut,com_sug_op
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21c,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21c,22k
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20a,21a,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20a,21c,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20a,21d,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20a,21e,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20f,21a,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20f,21c,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20f,21d,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19a,20f,21e,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20a,21a,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20a,21c,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20a,21d,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20a,21e,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20f,21a,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20f,21c,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20f,21d,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19b,20f,21e,22a
H1,a3,c2,g1,c1,c8,3e,4b,7a,8a,11b,14d,16e,17d,18d,19c,20a,21a,22a
